CAIRN RECORDS TERMINAL - 存取紀錄（部分節錄）
Generated by: automated audit subsystem
Extract requested by: internal audit reference AUD-2547-019
備註：2547-02-11 之前的完整紀錄無法取得 - 詳見 IT 工單 SYS-4402，
關於記錄存放磁碟稽核服務中斷一事。

  TIMESTAMP            USER              ACTION                RECORD/ITEM
  2547-02-11 09:14     administrator     LOGIN                 -
  2547-02-11 09:20     administrator     RECORD_VIEW           101
  2547-02-11 09:31     administrator     RECORD_VIEW           102
  2547-02-11 10:02     i.petrov          LOGIN                 -
  2547-02-11 10:03     i.petrov          RECORD_VIEW           106
  2547-02-11 10:19     i.petrov          CUSTODY_STATUS_SET    07-B
  2547-02-11 10:21     i.petrov          LOGOUT                -
  2547-02-14 15:47     administrator     LOGIN                 -
  2547-02-14 15:50     administrator     RECORD_VIEW           104

紀錄仍有後續 - 其餘項目未能於此節錄中復原。
